  21
  3   3   3   3   0.190709432371D+00
  3   3   3   2   0.173697692760D+00
  3   3   3   1   0.371377438734D-01
  3   2   3   2   0.168280609849D+00
  3   3   2   2   0.232601310260D+00
  3   2   3   1   0.393950044723D-01
  3   3   2   1   0.465335366956D-01
  3   1   3   1   0.186592022943D-01
  3   3   1   1   0.267623492790D+00
  3   2   2   2   0.231086127045D+00
  3   1   2   2   0.564362232471D-01
  3   2   2   1   0.493290053958D-01
  3   1   2   1   0.216168166989D-01
  3   2   1   1   0.284134908090D+00
  3   1   1   1   0.165033721568D+00
  2   2   2   2   0.321132997297D+00
  2   2   2   1   0.707090802724D-01
  2   1   2   1   0.254892365954D-01
  2   2   1   1   0.406236426267D+00
  2   1   1   1   0.181960061728D+00
  1   1   1   1   0.167584991131D+01
