  3
  0.100000D+01  0.222694D+00  0.544148D+00
  0.222694D+00  0.100000D+01  0.634152D+00
  0.544148D+00  0.634152D+00  0.100000D+01
 -0.149241D+01 -0.766401D+00 -0.108191D+01
 -0.766401D+00 -0.240943D+01 -0.188105D+01
 -0.108191D+01 -0.188105D+01 -0.180306D+01
  1.0583544172
